,n_semesters,sum_credits,GPA,failed_subjects,FACULTAD,NOMBRE_PROGRAMA,gpa_last_semester,GENERO,EDAD,COLEGIO_PROCEDENCIA,PUNT_TOTAL,PUNT_AREA,ES_DESERTOR,Codigo
2261,5,94.0,3.4085106382978725,1,FACULTAD DE CIENCIAS E INGENIERÍA,INGENIERÍA SANITARIA,2.64,F,22.0,"INSTITUCIÓN EDUCATIVA POLITÉCNICO ""ALVAR GONZÁLEZ SANTANA""",284,53,NO,55118005
2262,2,134.0,3.405970149253733,0,FACULTAD DE CIENCIAS E INGENIERÍA,INGENIERÍA SANITARIA,3.31,F,26.0,IE TEC INDUSTRIAL,46,46,NO,55118006
2263,2,89.0,3.8269662921348315,0,FACULTAD DE CIENCIAS E INGENIERÍA,INGENIERÍA SANITARIA,4.17,F,26.0,COLEGIO SALUDCOOP NORTE INSTITUCIONAL EDUCATIVA DISTRITAL,44,46,NO,55118007
2264,2,36.0,2.9722222222222223,6,FACULTAD DE CIENCIAS E INGENIERÍA,INGENIERÍA SANITARIA,2.56,F,22.0,I.E. SAN LUIS BELTRAN,53,54,NO,55118008
2265,4,161.0,3.9695652173913043,1,FACULTAD DE CIENCIAS E INGENIERÍA,INGENIERÍA SANITARIA,4.5,F,27.0,LICEO DE LA PRESENTACION,50,59,NO,55118009
2266,6,97.0,3.409278350515464,4,FACULTAD DE CIENCIAS E INGENIERÍA,INGENIERÍA SANITARIA,3.36,M,21.0,I.E. JOSE JOAQUIN CASAS,297,58,NO,55118010
2267,1,17.0,3.2411764705882358,2,FACULTAD DE CIENCIAS E INGENIERÍA,INGENIERÍA SANITARIA,3.24,M,20.0,COLEGIO COFREM-SAN MARTÍN,266,54,SI,55118013
2268,1,17.0,2.6529411764705877,6,FACULTAD DE CIENCIAS E INGENIERÍA,INGENIERÍA SANITARIA,2.65,F,21.0,IE SAN ANTONIO DE PADUA,296,62,SI,55118014
2269,4,161.0,3.7223602484472056,1,FACULTAD DE CIENCIAS E INGENIERÍA,INGENIERÍA SANITARIA,4.09,F,26.0,IE TEC JOSE IGNACIO DE MARQUEZ,49,51,NO,55118015
2270,3,161.0,3.7925465838509305,1,FACULTAD DE CIENCIAS E INGENIERÍA,INGENIERÍA SANITARIA,4.3,F,23.0,I.E. PABLO VALETTE,46,44,NO,55118016
2271,5,83.0,2.7542168674698795,12,FACULTAD DE CIENCIAS E INGENIERÍA,INGENIERÍA SANITARIA,2.52,M,21.0,I.E. DE CERINZA,331,66,NO,55118017
2272,5,89.0,3.4842696629213488,3,FACULTAD DE CIENCIAS E INGENIERÍA,INGENIERÍA SANITARIA,3.59,M,20.0,IE TEC JOSE GABRIEL CARVAJAL GARCIA,275,51,NO,55118018
2273,6,119.0,3.142016806722689,13,FACULTAD DE CIENCIAS E INGENIERÍA,INGENIERÍA SANITARIA,3.37,M,26.0,I.E. DE CERINZA,45,46,NO,55118021
2274,4,161.0,3.8130434782608695,1,FACULTAD DE CIENCIAS E INGENIERÍA,INGENIERÍA SANITARIA,3.35,M,24.0,IE JUAN JOSE RONDON - PAZ DE ARIPORO,45,53,NO,55118022
2275,4,175.0,3.3508571428571425,6,FACULTAD DE CIENCIAS E INGENIERÍA,INGENIERÍA SANITARIA,3.66,M,28.0,I.E. JOSE JOAQUIN CASAS,48,50,NO,55118501
2276,5,89.0,3.9629213483146066,1,FACULTAD DE CIENCIAS E INGENIERÍA,INGENIERÍA SANITARIA,3.92,M,22.0,I.E. SANTA BARBARA,308,62,NO,55118502
2277,2,161.0,3.4248447204968944,1,FACULTAD DE CIENCIAS E INGENIERÍA,INGENIERÍA SANITARIA,3.2,M,29.0,ESCUELA NORMAL SUPERIOR SANTIAGO DE TUNJA,459,55,NO,55118503
2278,4,135.0,3.751851851851851,0,FACULTAD DE CIENCIAS E INGENIERÍA,INGENIERÍA SANITARIA,3.77,F,23.0,GIMN DE LOS LLANOS,309,63,NO,55118504
2279,3,142.0,3.9985915492957753,0,FACULTAD DE CIENCIAS E INGENIERÍA,INGENIERÍA SANITARIA,3.97,F,21.0,ESCUELA NORMAL SUPERIOR LEONOR ALVAREZ PINZON,278,55,NO,55118505
2280,3,142.0,3.8042253521126765,0,FACULTAD DE CIENCIAS E INGENIERÍA,INGENIERÍA SANITARIA,3.79,F,23.0,ESCUELA NORMAL SUPERIOR LEONOR ALVAREZ PINZON,262,56,NO,55118506
2281,5,137.0,3.932116788321167,0,FACULTAD DE CIENCIAS E INGENIERÍA,INGENIERÍA SANITARIA,3.94,M,22.0,IE RIO DE PIEDRAS,292,62,NO,55118507
2282,2,126.0,4.051587301587301,0,FACULTAD DE CIENCIAS E INGENIERÍA,INGENIERÍA SANITARIA,4.06,F,22.0,COLEGIO DE BOYACÁ,297,60,NO,55118508
2283,4,161.0,3.6304347826086962,1,FACULTAD DE CIENCIAS E INGENIERÍA,INGENIERÍA SANITARIA,3.0,F,24.0,INSTITUCION EDUCATIVA INTEGRADO JOAQUIN GONZALEZ CAMARGO,55,57,NO,55118509
2284,5,87.0,3.4873563218390804,5,FACULTAD DE CIENCIAS E INGENIERÍA,INGENIERÍA SANITARIA,3.89,F,20.0,IE JUAN PABLO II-SABOYÁ,278,52,NO,55118512
2285,3,161.0,3.5670807453416162,1,FACULTAD DE CIENCIAS E INGENIERÍA,INGENIERÍA SANITARIA,2.93,M,29.0,INEM CARLOS ARTURO TORRES,382,60,NO,55118513
2286,1,17.0,2.758823529411765,4,FACULTAD DE CIENCIAS E INGENIERÍA,INGENIERÍA SANITARIA,2.76,M,26.0,COLEGIO NACIONAL SAN JOSE DE GUANENTA,45,45,NO,55118514
2287,4,70.0,3.865714285714286,1,FACULTAD DE CIENCIAS E INGENIERÍA,INGENIERÍA SANITARIA,4.23,F,19.0,I.E. SILVINO RODRIGUEZ,325,64,NO,55119001
2288,2,120.0,3.87,0,FACULTAD DE CIENCIAS E INGENIERÍA,INGENIERÍA SANITARIA,3.99,F,20.0,COLEGIO ANDINO DE TUNJA,341,69,NO,55119002
2289,2,95.0,3.7705263157894735,0,FACULTAD DE CIENCIAS E INGENIERÍA,INGENIERÍA SANITARIA,4.03,M,24.0,IE NORMAL SUPERIOR - SABOYÁ,273,45,NO,55119003
2290,3,128.0,3.540625,1,FACULTAD DE CIENCIAS E INGENIERÍA,INGENIERÍA SANITARIA,4.03,F,22.0,INSTITUCIÓN EDUCATIVA SERGIO CAMARGO - MIRAFLORES,244,46,NO,55119006
2291,1,71.0,3.538028169014084,1,FACULTAD DE CIENCIAS E INGENIERÍA,INGENIERÍA SANITARIA,3.54,M,26.0,IE TECNICA RAMON IGNACIO AVELLA,242,44,NO,55119007
2292,4,161.0,3.679503105590062,1,FACULTAD DE CIENCIAS E INGENIERÍA,INGENIERÍA SANITARIA,3.9,M,23.0,COL SAN PAULO,51,53,NO,55119008
2293,4,161.0,4.190062111801243,1,FACULTAD DE CIENCIAS E INGENIERÍA,INGENIERÍA SANITARIA,3.9,F,23.0,COLEGIO LA PRESENTACIÓN - DUITAMA,65,63,NO,55119009
2294,4,70.0,3.992857142857143,0,FACULTAD DE CIENCIAS E INGENIERÍA,INGENIERÍA SANITARIA,4.02,M,21.0,IE JORGE ELIECER GAITAN - TOTA,253,52,NO,55119010
2295,1,17.0,1.8705882352941174,7,FACULTAD DE CIENCIAS E INGENIERÍA,INGENIERÍA SANITARIA,1.87,F,21.0,INSTITUCION EDUCATIVA URIBESCO,307,60,NO,55119011
2296,3,164.0,3.6463414634146347,2,FACULTAD DE CIENCIAS E INGENIERÍA,INGENIERÍA SANITARIA,2.53,M,28.0,COLEGIO NUEVO MILENIO,59,61,NO,55119502
2297,3,161.0,3.7031055900621115,1,FACULTAD DE CIENCIAS E INGENIERÍA,INGENIERÍA SANITARIA,4.6,M,23.0,INSTITUCIÓN EDUCATIVA TÉCNICO INDUSTRIAL GUSTAVO JIMÉNEZ,57,58,NO,55119504
2298,3,161.0,3.960869565217391,1,FACULTAD DE CIENCIAS E INGENIERÍA,INGENIERÍA SANITARIA,4.7,F,23.0,I.E. TECNICA EL PORTACHUELO,53,53,NO,55119509
2299,1,120.0,3.4441666666666673,0,FACULTAD DE CIENCIAS E INGENIERÍA,INGENIERÍA SANITARIA,3.44,F,28.0,I.E.D. ESCUELA NORMAL SUPERIOR MARIA AUXILIADORA,53,51,NO,55119510
2300,3,149.0,3.9744966442953023,0,FACULTAD DE CIENCIAS E INGENIERÍA,INGENIERÍA SANITARIA,4.03,F,22.0,ESCUELA NORMAL  SUPERIOR ANTONIA SANTOS,60,63,NO,55119511
2301,3,153.0,3.7901960784313724,1,FACULTAD DE CIENCIAS E INGENIERÍA,INGENIERÍA SANITARIA,3.52,F,22.0,I.E. NUESTRA SEÑORA DE LA ANTIGUA,61,61,NO,55119512
2303,1,14.0,2.3714285714285714,7,FACULTAD DE CIENCIAS E INGENIERÍA,INGENIERÍA SANITARIA,2.37,M,19.0,INSTITUCIÓN EDUCATIVA TÉCNICA JOSÉ IGNACIO DE MÁRQUEZ,265,52,NO,55119516
2304,3,156.0,3.460256410256411,2,FACULTAD DE CIENCIAS E INGENIERÍA,INGENIERÍA SANITARIA,2.31,F,28.0,INSTITUCIÓN EDUCATIVA TECNICO INDUSTRIAL Y MINERO DE PAZ DE RÍO,55,54,NO,55119517
2305,2,137.0,3.7759124087591247,0,FACULTAD DE CIENCIAS E INGENIERÍA,INGENIERÍA SANITARIA,3.93,M,25.0,I.E. EL ROSARIO - PAIPA,43,48,NO,55119519
2306,3,147.0,3.4108843537414963,2,FACULTAD DE CIENCIAS E INGENIERÍA,INGENIERÍA SANITARIA,2.31,F,25.0,I.E.T. ALEJANDRO DE HUMBOLDT,49,48,NO,55119521
2307,3,149.0,3.830872483221477,0,FACULTAD DE CIENCIAS E INGENIERÍA,INGENIERÍA SANITARIA,4.06,F,23.0,IE JORGE ELIECER GAITAN - AGUAZUL,53,50,NO,55119522
2308,1,117.0,3.6991452991452993,0,FACULTAD DE CIENCIAS E INGENIERÍA,INGENIERÍA SANITARIA,3.7,F,22.0,INSTITUTO NUESTRA SEÑORA DE FATIMA-BARRANQUILLA,48,50,NO,55119523
2309,3,153.0,3.4784313725490192,1,FACULTAD DE CIENCIAS E INGENIERÍA,INGENIERÍA SANITARIA,2.76,M,31.0,I.E. LA LIBERTAD,46,46,NO,55119524
2310,4,153.0,4.092156862745099,1,FACULTAD DE CIENCIAS E INGENIERÍA,INGENIERÍA SANITARIA,4.61,F,22.0,IE DE SORA,336,65,NO,55119525
2311,4,135.0,3.473333333333333,0,FACULTAD DE CIENCIAS E INGENIERÍA,INGENIERÍA SANITARIA,3.74,F,23.0,I.E. TEC IND JULIO FLOREZ,45,46,NO,55119526
2312,1,116.0,3.351724137931034,0,FACULTAD DE CIENCIAS E INGENIERÍA,INGENIERÍA SANITARIA,3.35,M,27.0,COLEGIO COLOMBO BRITANICO - TUNJA,48,54,NO,55119527
2313,1,113.0,3.435398230088496,0,FACULTAD DE CIENCIAS E INGENIERÍA,INGENIERÍA SANITARIA,3.44,F,25.0,I.E. CAMPO ELIAS CORTES,47,44,NO,55119528
2314,3,125.0,3.612000000000001,0,FACULTAD DE CIENCIAS E INGENIERÍA,INGENIERÍA SANITARIA,3.95,F,23.0,I.E. ANTONIO NARIÑO,54,56,NO,55120001
2315,2,153.0,3.4816993464052293,1,FACULTAD DE CIENCIAS E INGENIERÍA,INGENIERÍA SANITARIA,3.12,F,22.0,INSTITUCIÓN EDUCATIVA DEPARTAMENTAL IGNACIO PESCADOR,256,49,NO,55120002
2316,1,84.0,3.5523809523809526,0,FACULTAD DE CIENCIAS E INGENIERÍA,INGENIERÍA SANITARIA,3.55,F,21.0,I.E. NORMAL SUPERIOR SOR JOSEFA DEL CASTILLO Y GUEVARA,286,60,NO,55120003
2317,2,35.0,4.274285714285714,0,FACULTAD DE CIENCIAS E INGENIERÍA,INGENIERÍA SANITARIA,4.32,F,19.0,ESCUELA NORMAL SUPERIOR LEONOR ALVAREZ PINZON,279,58,NO,55120004
2318,1,73.0,3.7068493150684927,0,FACULTAD DE CIENCIAS E INGENIERÍA,INGENIERÍA SANITARIA,3.71,F,21.0,INSTITUCIÓN EDUCATIVA SAN IGNACIO DE LOYOLA,265,55,NO,55120005
2319,2,35.0,4.3914285714285715,0,FACULTAD DE CIENCIAS E INGENIERÍA,INGENIERÍA SANITARIA,4.37,F,17.0,IE TEC COMERCIAL JOSÉ EUSTASIO RIVERA SARAVENA,338,65,NO,55120006
2320,1,100.0,3.739,0,FACULTAD DE CIENCIAS E INGENIERÍA,INGENIERÍA SANITARIA,3.74,F,23.0,COLEGIO NUESTRA SEÑORA DE NAZARETH,50,54,NO,55120007
2321,1,103.0,3.374757281553397,0,FACULTAD DE CIENCIAS E INGENIERÍA,INGENIERÍA SANITARIA,3.37,F,24.0,IE TECNICA NACIONALIZADA DE SAMACA,40,46,NO,55120008
2324,2,161.0,3.9236024844720494,1,FACULTAD DE CIENCIAS E INGENIERÍA,INGENIERÍA SANITARIA,3.43,F,23.0,I.E. ARMANDO SOLANO,56,59,NO,55120011
2325,2,35.0,3.608571428571429,0,FACULTAD DE CIENCIAS E INGENIERÍA,INGENIERÍA SANITARIA,3.42,M,17.0,COLEGIO NUESTRA SEÑORA DEL ROSARIO - TUNJA,265,56,NO,55120012
2326,2,36.0,3.7083333333333335,0,FACULTAD DE CIENCIAS E INGENIERÍA,INGENIERÍA SANITARIA,4.5,M,21.0,I.E.T. MANUEL BRICEÑO,222,46,NO,55120013
2327,3,81.0,3.9308641975308647,0,FACULTAD DE CIENCIAS E INGENIERÍA,INGENIERÍA SANITARIA,3.7,M,23.0,COLEGIO NUESTRA SEÑORA DE NAZARETH,42,41,NO,55120014
2328,1,101.0,3.63069306930693,0,FACULTAD DE CIENCIAS E INGENIERÍA,INGENIERÍA SANITARIA,3.63,M,30.0,IE TECNICA NACIONALIZADA DE SAMACA,48,51,NO,55120015
2329,2,140.0,3.62857142857143,0,FACULTAD DE CIENCIAS E INGENIERÍA,INGENIERÍA SANITARIA,3.78,F,22.0,I.E. VALLE DE TENZA,242,50,NO,55120016
2330,1,102.0,3.477450980392157,0,FACULTAD DE CIENCIAS E INGENIERÍA,INGENIERÍA SANITARIA,3.48,F,26.0,COLEGIO PABLO VI,343,51,NO,55120017
2331,1,103.0,3.5194174757281558,0,FACULTAD DE CIENCIAS E INGENIERÍA,INGENIERÍA SANITARIA,3.52,F,25.0,IE NUEVA ESPERANZA,44,48,NO,55120018
2332,3,71.0,3.9338028169014088,0,FACULTAD DE CIENCIAS E INGENIERÍA,INGENIERÍA SANITARIA,3.9,F,22.0,IE ESCUELA NORMAL SUPERIOR - SOCHA,273,58,NO,55120019
2333,1,93.0,3.6053763440860216,0,FACULTAD DE CIENCIAS E INGENIERÍA,INGENIERÍA SANITARIA,3.61,F,23.0,IE TECNICA NACIONALIZADA DE SAMACA,245,50,NO,55120503
2334,1,104.0,3.804807692307693,0,FACULTAD DE CIENCIAS E INGENIERÍA,INGENIERÍA SANITARIA,3.8,F,24.0,ESCUELA NORMAL SUPERIOR LEONOR ALVAREZ PINZON,306,62,NO,55120505
2335,1,138.0,4.144927536231884,0,FACULTAD DE CIENCIAS E INGENIERÍA,INGENIERÍA SANITARIA,4.14,F,22.0,IE JORGE ELIECER GAITAN - TOTA,300,61,NO,55120506
2336,2,116.0,4.056896551724138,0,FACULTAD DE CIENCIAS E INGENIERÍA,INGENIERÍA SANITARIA,4.28,F,20.0,ESCUELA NORMAL SUPERIOR LEONOR ALVAREZ PINZON,327,66,NO,55120508
2337,2,127.0,3.8433070866141734,0,FACULTAD DE CIENCIAS E INGENIERÍA,INGENIERÍA SANITARIA,4.14,M,22.0,INSTITUTO TECNICO SANTO TOMAS DE AQUINO,281,58,NO,55120509
2338,1,132.0,3.556060606060605,0,FACULTAD DE CIENCIAS E INGENIERÍA,INGENIERÍA SANITARIA,3.56,F,28.0,IE TEC JOSE IGNACIO DE MARQUEZ,52,55,NO,55120510
2339,1,54.0,3.4759259259259263,0,FACULTAD DE CIENCIAS E INGENIERÍA,INGENIERÍA SANITARIA,3.48,M,26.0,COLEGIO COLOMBO BRITANICO - TUNJA,264,55,NO,55120511
2340,1,80.0,3.67875,0,FACULTAD DE CIENCIAS E INGENIERÍA,INGENIERÍA SANITARIA,3.68,M,20.0,INSTITUTO TECNICO INDUSTRIAL ANTONIO RICAURTE VILLA DE LEYVA,293,60,NO,55121004
2341,1,102.0,3.72156862745098,0,FACULTAD DE CIENCIAS E INGENIERÍA,INGENIERÍA SANITARIA,3.72,F,22.0,IE CARLOS JULIO UMAÑA TORRES,236,48,NO,55121006
2342,1,105.0,3.684761904761905,0,FACULTAD DE CIENCIAS E INGENIERÍA,INGENIERÍA SANITARIA,3.68,F,21.0,INSTITUCIÓN EDUCATIVA INTEGRADO JOAQUÍN GONZÁLEZ CAMARGO,293,60,NO,55121007
2343,2,32.0,3.4781249999999995,2,FACULTAD DE CIENCIAS E INGENIERÍA,INGENIERÍA DE SISTEMAS,3.22,M,31.0,COLEGIO BOSTON,430,47,SI,55212001
2344,10,159.0,3.560377358490566,5,FACULTAD DE CIENCIAS E INGENIERÍA,INGENIERÍA DE SISTEMAS,4.08,M,24.0,INSTITUCIÓN EDUCATIVA ANTONIO JOSÉ SANDOVAL GÓMEZ DE TUNJA,57,56,NO,55212002
2345,2,32.0,3.465625,3,FACULTAD DE CIENCIAS E INGENIERÍA,INGENIERÍA DE SISTEMAS,2.9,F,28.0,I.E. VALLE DE TENZA,42,43,SI,55212003
2346,11,170.0,3.381176470588236,8,FACULTAD DE CIENCIAS E INGENIERÍA,INGENIERÍA DE SISTEMAS,3.46,M,22.0,COLEGIO HELADIA MEJIA  (IED),431,58,NO,55212004
2347,7,112.0,3.000892857142857,20,FACULTAD DE CIENCIAS E INGENIERÍA,INGENIERÍA DE SISTEMAS,1.55,M,33.0,I.E.T. JOSE ACEVEDO Y GOMEZ,42,47,SI,55212005
2348,2,32.0,3.03125,5,FACULTAD DE CIENCIAS E INGENIERÍA,INGENIERÍA DE SISTEMAS,3.08,F,26.0,IE JESUS BERNAL PINZON,37,37,SI,55212006
2349,12,164.0,3.3768292682926826,5,FACULTAD DE CIENCIAS E INGENIERÍA,INGENIERÍA DE SISTEMAS,4.8,M,24.0,COLEGIO SALESIANO,43,42,NO,55212007
2350,5,80.0,2.16,19,FACULTAD DE CIENCIAS E INGENIERÍA,INGENIERÍA DE SISTEMAS,0.0,M,25.0,INSTITUTO TECNICO INDUSTRIAL FRANCISCO DE PAULA SANTANDER,47,50,SI,55212008
2351,1,16.0,1.25,7,FACULTAD DE CIENCIAS E INGENIERÍA,INGENIERÍA DE SISTEMAS,1.25,M,28.0,INST SOLUCION EDUCATIVA SOLED,282,31,SI,55212009
2352,3,36.0,2.8888888888888884,9,FACULTAD DE CIENCIAS E INGENIERÍA,INGENIERÍA DE SISTEMAS,3.06,M,28.0,COLEGIO COLOMBO BRITANICO - TUNJA,58,57,SI,55212011
2354,7,153.0,3.8444444444444446,1,FACULTAD DE CIENCIAS E INGENIERÍA,INGENIERÍA DE SISTEMAS,4.46,M,24.0,COLEGIO GUILLERMO LEON VALENCIA,364,46,NO,55212502
2355,2,29.0,3.024137931034483,6,FACULTAD DE CIENCIAS E INGENIERÍA,INGENIERÍA DE SISTEMAS,2.82,F,26.0,I.E. ANTONIO NARIÑO,332,52,SI,55212503
2356,1,14.0,2.3285714285714287,3,FACULTAD DE CIENCIAS E INGENIERÍA,INGENIERÍA DE SISTEMAS,2.33,M,26.0,INSTITUCIÓN EDUCATIVA SAN JERÓNIMO EMILIANI,355,55,SI,55212504
2357,5,63.0,3.03015873015873,5,FACULTAD DE CIENCIAS E INGENIERÍA,INGENIERÍA DE SISTEMAS,2.36,M,36.0,INSTITUCIÓN EDUCATIVA TÉCNICA AGROINDUSTRIAL,44,41,SI,55212505
2358,2,21.0,3.2857142857142856,2,FACULTAD DE CIENCIAS E INGENIERÍA,INGENIERÍA DE SISTEMAS,2.97,M,29.0,INSTITUCIÓN EDUCATIVA URIBESCO,47,49,SI,55212506
2359,1,14.0,3.514285714285714,1,FACULTAD DE CIENCIAS E INGENIERÍA,INGENIERÍA DE SISTEMAS,3.51,M,29.0,COLEGIO SALESIANO,52,56,SI,55212507
2360,1,13.0,3.761538461538462,0,FACULTAD DE CIENCIAS E INGENIERÍA,INGENIERÍA DE SISTEMAS,3.76,M,28.0,COLEGIO MILITAR INOCENCIO CHINCA,51,56,SI,55212508
2361,10,167.0,3.5916167664670655,6,FACULTAD DE CIENCIAS E INGENIERÍA,INGENIERÍA DE SISTEMAS,3.07,M,31.0,I.E.T. DE FIRAVITOBA,44,41,NO,55213002
2362,10,156.0,3.7128205128205125,3,FACULTAD DE CIENCIAS E INGENIERÍA,INGENIERÍA DE SISTEMAS,4.3,M,23.0,COLEGIO SEMINARIO DIOCESANO,54,61,NO,55213003
2363,7,114.0,3.045614035087719,13,FACULTAD DE CIENCIAS E INGENIERÍA,INGENIERÍA DE SISTEMAS,2.99,M,25.0,INSTITUCIÓN EDUCATIVA ANTONIO NARIÑO,45,53,SI,55213004
2364,13,185.0,3.4178378378378382,13,FACULTAD DE CIENCIAS E INGENIERÍA,INGENIERÍA DE SISTEMAS,4.5,M,23.0,GIMNASIO CAMPESTRE SANTO DOMINGO,484,61,NO,55213005
2365,10,156.0,3.9108974358974367,3,FACULTAD DE CIENCIAS E INGENIERÍA,INGENIERÍA DE SISTEMAS,3.4,F,22.0,IE JUAN BAUTISTA MARIA VIANNEY,60,69,NO,55213006
2366,10,161.0,3.8664596273291925,4,FACULTAD DE CIENCIAS E INGENIERÍA,INGENIERÍA DE SISTEMAS,4.4,M,23.0,COLEGIO GUILLERMO LEON VALENCIA,62,63,NO,55213007
2367,12,198.0,3.2691919191919188,17,FACULTAD DE CIENCIAS E INGENIERÍA,INGENIERÍA DE SISTEMAS,3.32,M,23.0,I.E.T. SAN LUIS,399,46,NO,55213008
2368,1,11.0,3.6181818181818186,1,FACULTAD DE CIENCIAS E INGENIERÍA,INGENIERÍA DE SISTEMAS,3.62,M,26.0,IE CARLOS JULIO UMAÑA TORRES,49,50,SI,55213009
2369,4,45.0,2.7977777777777777,11,FACULTAD DE CIENCIAS E INGENIERÍA,INGENIERÍA DE SISTEMAS,2.6,M,28.0,INSTITUCIÓN EDUCATIVA FRANCISCO DE PAULA SANTANDER,41,48,SI,55213010
2370,1,13.0,3.207692307692308,1,FACULTAD DE CIENCIAS E INGENIERÍA,INGENIERÍA DE SISTEMAS,3.21,M,26.0,INSTITUCION EDUCATIVA INTEGRADO JOAQUIN GONZALEZ CAMARGO,48,53,SI,55213011
2371,4,60.0,2.601666666666667,13,FACULTAD DE CIENCIAS E INGENIERÍA,INGENIERÍA DE SISTEMAS,1.84,M,28.0,ESCUELA NORMAL SUPERIOR SANTIAGO DE TUNJA,65,50,SI,55213012
2372,3,49.0,3.3,4,FACULTAD DE CIENCIAS E INGENIERÍA,INGENIERÍA DE SISTEMAS,2.97,F,26.0,IE JORGE ELIECER GAITAN - TOTA,59,59,SI,55213016
2374,1,13.0,3.4076923076923076,2,FACULTAD DE CIENCIAS E INGENIERÍA,INGENIERÍA DE SISTEMAS,3.41,M,25.0,INST TEC EMPRESARIAL,46,50,SI,55214001
2375,2,32.0,1.9531249999999998,10,FACULTAD DE CIENCIAS E INGENIERÍA,INGENIERÍA DE SISTEMAS,1.73,M,25.0,COLEGIO NUESTRA SEÑORA DEL ROSARIO - TUNJA,45,44,SI,55214002
2376,11,170.0,3.524117647058824,8,FACULTAD DE CIENCIAS E INGENIERÍA,INGENIERÍA DE SISTEMAS,3.51,F,22.0,I.E.T. COMERCIAL,46,43,NO,55214004
2377,3,41.0,2.870731707317073,5,FACULTAD DE CIENCIAS E INGENIERÍA,INGENIERÍA DE SISTEMAS,2.1,M,25.0,I.E. INTEGRADO-CÓMBITA,357,51,SI,55214005
2378,13,179.0,3.426256983240224,12,FACULTAD DE CIENCIAS E INGENIERÍA,INGENIERÍA DE SISTEMAS,4.56,M,24.0,IE SAN AGUSTIN,39,39,NO,55214006
2379,13,185.0,3.348648648648649,13,FACULTAD DE CIENCIAS E INGENIERÍA,INGENIERÍA DE SISTEMAS,4.02,M,23.0,IE DIEGO DE TORRES,362,54,NO,55214007
2380,9,153.0,3.869281045751635,2,FACULTAD DE CIENCIAS E INGENIERÍA,INGENIERÍA DE SISTEMAS,3.78,M,22.0,I.E.T AGRICOLA,337,50,NO,55214008
2381,4,62.0,3.5387096774193547,4,FACULTAD DE CIENCIAS E INGENIERÍA,INGENIERÍA DE SISTEMAS,2.92,M,44.0,INSTITUTO DE EDUCACION MEDIA DIVERSIFICADA INEM CARLOS ARTURO TORRES,295,56,SI,55214009
2382,2,32.0,1.3125,11,FACULTAD DE CIENCIAS E INGENIERÍA,INGENIERÍA DE SISTEMAS,0.46,M,25.0,ESCUELA NORMAL SUPERIOR SANTIAGO DE TUNJA,61,61,SI,55214010
2383,9,152.0,3.8197368421052627,2,FACULTAD DE CIENCIAS E INGENIERÍA,INGENIERÍA DE SISTEMAS,3.52,M,23.0,COLEGIO TECNICO MUNICIPAL FRANCISCO DE PAULA SANTANDER,48,50,NO,55214501
2384,14,190.0,3.1773684210526314,16,FACULTAD DE CIENCIAS E INGENIERÍA,INGENIERÍA DE SISTEMAS,4.3,M,23.0,INST TEC EMPRESARIAL,50,53,NO,55214503
2385,11,168.0,3.6601190476190473,6,FACULTAD DE CIENCIAS E INGENIERÍA,INGENIERÍA DE SISTEMAS,4.6,M,25.0,COL SAN BARTOLOME APOSTOL,55,64,NO,55214504
2386,7,150.0,3.9299999999999993,1,FACULTAD DE CIENCIAS E INGENIERÍA,INGENIERÍA DE SISTEMAS,3.23,F,22.0,I.E.T AGRICOLA,53,55,NO,55214506
2387,1,12.0,3.0083333333333333,2,FACULTAD DE CIENCIAS E INGENIERÍA,INGENIERÍA DE SISTEMAS,3.01,M,24.0,INSTITUCIÓN EDUCATIVA COLEGIO DE SUGAMUXI,54,58,SI,55214507
2388,1,16.0,0.475,8,FACULTAD DE CIENCIAS E INGENIERÍA,INGENIERÍA DE SISTEMAS,0.48,M,29.0,COLEGIO TECNICO MUNICIPAL SIMON BOLIVAR,50,48,SI,55214509
2389,8,150.0,4.15,1,FACULTAD DE CIENCIAS E INGENIERÍA,INGENIERÍA DE SISTEMAS,4.6,M,25.0,I.E.T. ALEJANDRO DE HUMBOLDT,50,56,NO,55215001
2390,1,14.0,1.5642857142857143,5,FACULTAD DE CIENCIAS E INGENIERÍA,INGENIERÍA DE SISTEMAS,1.56,M,28.0,INSTITUCIÓN EDUCATIVA FRANCISCO DE PAULA SANTANDER,41,48,SI,55215004
2391,1,14.0,2.3642857142857143,6,FACULTAD DE CIENCIAS E INGENIERÍA,INGENIERÍA DE SISTEMAS,2.36,F,23.0,COLEGIO CRISTO REY,50,49,SI,55215006
2392,10,152.0,3.5572368421052634,2,FACULTAD DE CIENCIAS E INGENIERÍA,INGENIERÍA DE SISTEMAS,3.18,M,22.0,I.E. HAYDEE CAMACHO SAAVEDRA,58,59,NO,55215007
2393,6,81.0,2.8333333333333335,12,FACULTAD DE CIENCIAS E INGENIERÍA,INGENIERÍA DE SISTEMAS,2.31,M,27.0,COLEGIO  TRINIDAD CAMACHO PINZON,295,47,SI,55215008
2394,4,61.0,2.085245901639344,17,FACULTAD DE CIENCIAS E INGENIERÍA,INGENIERÍA DE SISTEMAS,0.12,M,28.0,ESCUELA NORMAL SUPERIOR SANTIAGO DE TUNJA,65,50,SI,55215009
